video_id,title,published_at,duration,views,likes,comments,tags,channel
-_zKAikPWuM,Scoring 1 AMAZING Goal DRUNK vs SOBER,2026-04-17T20:25:11Z,PT26M59S,1471969,45170,447,,ChrisMD
z5xSlAzeXGY,"1 Fan From Every Champions League Club Competes For $10,000",2026-03-27T21:02:21Z,PT42M6S,1436898,42332,775,,ChrisMD
RFnAbYrKvno,We Scored 1 AMAZING Goal From Every xG,2026-02-26T13:46:17Z,PT2M21S,55042,3015,16,,ChrisMD
LfOsFRlvwT0,Scoring 1 AMAZING Goal From Every xG,2026-02-24T20:13:59Z,PT26M3S,1821312,52580,613,,ChrisMD
AEYeOm2ElcQ,"Every Time You Score, the Keeper Gets Taller",2026-01-30T17:03:13Z,PT25M19S,1216010,35884,1051,,ChrisMD
sPnKQ2Kq36c,"£50 vs £1,000 House Party (2025 Edition)",2025-12-22T19:13:45Z,PT43M39S,2043967,79174,770,,ChrisMD
NdJ0JKLTs44,YOUTUBERS vs TIKTOKERS Football Challenges,2025-11-27T19:21:46Z,PT33M29S,1898358,57383,631,,ChrisMD
M5lLe8eodm8,30 WOMEN VS 1 YOUTUBER: Football Edition,2025-10-31T21:40:34Z,PT1H7M46S,2737908,80346,1844,,ChrisMD
gyQTRcVe_Sk,"1 Footballer of Every Age Competes For £10,000",2025-10-03T16:11:42Z,PT45M24S,2866883,76373,1461,,ChrisMD
eSVppiyDN1E,Playing Iconic Childhood Football Games #2,2025-09-18T18:23:16Z,PT28M49S,2876330,61887,504,,ChrisMD
oI5S3MQA8io,We Recreated Football's Most Satisfying Goals #2,2025-08-22T19:31:18Z,PT20M37S,3566150,100603,939,,ChrisMD
3jhRDJR5_c0,We Scored a Goal From a Helicopter,2025-07-31T20:10:07Z,PT22M58S,1876487,64386,1139,,ChrisMD
cRG9qiPcLA0,ABANDONED IN EUROPE: Football Edition,2025-07-04T20:59:42Z,PT44M42S,1559852,46944,1169,,ChrisMD
vYb_kgKjBXc,£100 vs £1000 Race to Where Football Began,2025-06-02T16:11:13Z,PT55M21S,2810363,74713,1945,,ChrisMD
6fOuTWpOMAg,NORTH vs SOUTH Football Challenges 2,2025-04-30T21:01:54Z,PT45M8S,4748732,111412,3165,,ChrisMD
pkRbb-peBnk,YouTuber SOCCER SATURDAY Challenge,2025-03-31T17:42:39Z,PT43M50S,3387253,111157,1973,,ChrisMD
lSNvsHOykSA,"1 Fan From Every Premier League Club Competes For £10,000",2025-03-06T19:20:59Z,PT1H9M38S,4571256,117676,2985,,ChrisMD
2qsXg3oZ0cw,"£100 vs £1,000 Valentine's Day",2025-02-10T20:05:37Z,PT55M4S,4243593,131718,1531,,ChrisMD
etWiEgoQ-es,"Every Time You Score, a Defender Gets Added",2025-01-15T21:01:51Z,PT19M16S,2188917,67958,953,,ChrisMD
xCyYjtnfN4E,We Took 100 Shots vs a Women's Pro Keeper and Scored ___ Goals,2024-12-16T21:31:47Z,PT22M55S,3972413,86397,1123,,ChrisMD
_8SULw8p1gs,FOOTBALL PUB GOLF: EUROPE EDITION,2024-11-22T17:12:55Z,PT51M24S,5375287,145210,1501,,ChrisMD
PNR_6TkduPk,"1 Footballer from Every Position Competes for £10,000",2024-10-31T17:10:43Z,PT54M40S,6669872,172491,3351,,ChrisMD
_rAdNU-NIx8,"Every Time You Score, a Keeper Gets Added",2024-10-08T17:45:36Z,PT29M,3170459,78099,916,,ChrisMD
sPGOGmsa0uU,24 Hours to Score a Goal in the Furthest Country,2024-09-20T19:21:37Z,PT49M41S,4043480,79533,772,,ChrisMD
QtRpinoAxLA,FOOTBALL MEME OLYMPICS,2024-08-16T14:56:01Z,PT53M28S,3997306,96200,1154,,ChrisMD
Xn-AwNDWLZ0,20 WOMEN VS 1 YOUTUBER: Football Edition,2024-07-30T18:03:54Z,PT45M,6195355,176179,3895,,ChrisMD
gavdNgl9ktE,"Every Euro's Country Competes for £10,000",2024-07-04T21:02:11Z,PT41M17S,3572340,82443,2234,,ChrisMD
tnRxjduoNoI,Beta Squad Took 100 Shots Each and Scored ___ Goals,2024-06-07T17:11:57Z,PT25M52S,2979130,84911,950,,ChrisMD
T-Ud_7WskdI,The Best Goal of This Video Gets Hung in The Louvre,2024-05-17T18:41:10Z,PT21M4S,1512960,56930,519,,ChrisMD
JohKEouFLYc,Scoring 1 AMAZING Goal With Every Body Part,2024-04-22T20:52:32Z,PT25M55S,4648071,102737,1436,,ChrisMD
NN2vUeGtpcI,"£10 vs. £1,000 Takeaway (IRL Edition)",2024-03-14T19:16:34Z,PT32M1S,6003646,204264,2114,,ChrisMD
